Symbol,Name,Industry,IndustryCode
NEE,Nextera Energy Inc,전기 유틸리티,591010.0
BMY,Bristol-Myers Squibb Co,제약,562010.0
AXP,American Express Co,은행,551010.0
RTX,Raytheon Technologies Corp,우주항공 및 국방,521010.0
SAP,SAP SE ADR,소프트웨어 및 IT서비스,572010.0
MDT,Medtronic PLC,헬스케어 장비 및 용품,561010.0
CVS,CVS Health Corp,헬스케어 업체 및 서비스,561020.0
UL,Unilever PLC ADR,"개인, 가정 용품 및 서비스",542010.0
SONY,Sony Group Corp ADR,"컴퓨터, 전화 및 가전제품",571060.0
C,Citigroup Inc,은행,551010.0
BA,Boeing Co,우주항공 및 국방,521010.0
COP,Conocophillips,오일 및 가스,501020.0
HDB,HDFC Bank Ltd ADR,은행,551010.0
GS,Goldman Sachs Group Inc,투자은행 및 서비스,551020.0
DE,Deere & Co,"건설장비 및 대형차, 기차, 배",521020.0
IBM,International Business Machines Corp,소프트웨어 및 IT서비스,572010.0
BLK,BlackRock Inc,투자은행 및 서비스,551020.0
DEO,Diageo PLC ADR,음료,541010.0
NOW,ServiceNow Inc,소프트웨어 및 IT서비스,572010.0
GSK,GlaxoSmithKline PLC ADR,제약,562010.0
CAT,Caterpillar Inc,"건설장비 및 대형차, 기차, 배",521020.0
ANTM,Anthem Inc,헬스케어 업체 및 서비스,561020.0
BP,BP PLC ADR,오일 및 가스,501020.0
PLD,Prologis Inc,주택 및 상업용 리츠,601020.0
LMT,Lockheed Martin Corp,우주항공 및 국방,521010.0
AMT,American Tower Corp,주택 및 상업용 리츠,601020.0
EL,Estee Lauder Companies Inc Class A,"개인, 가정 용품 및 서비스",542010.0
GE,General Electric Co,복합 기업,544010.0
BTI,British American Tobacco PLC ADR,식품 및 담배,541020.0
SHOP,Shopify Inc Class A,소프트웨어 및 IT서비스,572010.0
EQNR,Equinor ASA ADR,오일 및 가스,501020.0
BUD,Anheuser Busch Inbev SA ADR,음료,541010.0
TGT,Target Corp,다양한 소매업,534020.0
RIO,Rio Tinto PLC ADR,메탈&마이닝,512010.0
SYK,Stryker Corp,헬스케어 장비 및 용품,561010.0
ZTS,Zoetis Inc Class A,제약,562010.0
SPGI,S&P Global Inc,전문 및 상업 서비스,522030.0
INFY,Infosys Ltd ADR,소프트웨어 및 IT서비스,572010.0
MO,Altria Group Inc,식품 및 담배,541020.0
MMM,3M Co,복합 기업,544010.0
BAM,Brookfield Asset Management Inc Class A,투자은행 및 서비스,551020.0
RDS.B,Shell PLC ADR,오일 및 가스,501020.0
UN,Unilever NV ADR,"개인, 가정 용품 및 서비스",542010.0
BNS,Bank of Nova Scotia,은행,551010.0
SNOW,Snowflake Inc. Class A,소프트웨어 및 IT서비스,572010.0
CB,Chubb Ltd,보험,553010.0
SE,Sea Ltd ADR,소프트웨어 및 IT서비스,572010.0
PNC,PNC Financial Services Group Inc,은행,551010.0
ENB,Enbridge Inc,오일 및 가스 장비 및 서비스,501030.0
USB,US Bancorp,은행,551010.0
VALE,Vale SA ADR,메탈&마이닝,512010.0
CNI,Canadian National Railway Co,화물 및 물류 서비스,524050.0
TFC,Truist Financial Corp,은행,551010.0
MUFG,Mitsubishi UFJ Financial Group Inc ADR,은행,551010.0
TJX,TJX Companies Inc,다양한 소매업,534020.0
BDX,Becton Dickinson and Co,헬스케어 장비 및 용품,561010.0
MMC,Marsh & McLennan Companies Inc,보험,553010.0
DUK,Duke Energy Corp,전기 유틸리티,591010.0
UBS,UBS Group AG,투자은행 및 서비스,551020.0
BMO,Bank of Montreal,은행,551010.0
CI,Cigna Corp,헬스케어 업체 및 서비스,561020.0
HCA,HCA Healthcare Inc,헬스케어 업체 및 서비스,561020.0
CCI,Crown Castle International Corp,주택 및 상업용 리츠,601020.0
IBN,ICICI Bank Ltd ADR,은행,551010.0
SHW,Sherwin-Williams Co,화학,511010.0
GM,General Motors Co,자동차 및 자동차 부품,531010.0
SO,Southern Co,전기 유틸리티,591010.0
ICE,Intercontinental Exchange Inc,투자은행 및 서비스,551020.0
F,Ford Motor Co,자동차 및 자동차 부품,531010.0
BBL,BHP Group PLC ADR,메탈&마이닝,512010.0
UBER,Uber Technologies Inc,소프트웨어 및 IT서비스,572010.0
EOG,EOG Resources Inc,오일 및 가스,501020.0
FIS,Fidelity National Information Services Inc,핀테크,573010.0
ITW,Illinois Tool Works Inc,복합 기업,544010.0
EW,Edwards Lifesciences Corp,헬스케어 장비 및 용품,561010.0
ABB,Abb Ltd ADR,"건설장비 및 대형차, 기차, 배",521020.0
CL,Colgate-Palmolive Co,"개인, 가정 용품 및 서비스",542010.0
COF,Capital One Financial Corp,은행,551010.0
SAN,Banco Santander SA ADR,은행,551010.0
SNAP,Snap Inc Class A,소프트웨어 및 IT서비스,572010.0
NSC,Norfolk Southern Corp,화물 및 물류 서비스,524050.0
D,Dominion Energy Inc,전기 유틸리티,591010.0
FCX,Freeport-McMoRan Inc,메탈&마이닝,512010.0
PSA,Public Storage,주택 및 상업용 리츠,601020.0
AON,Aon PLC Class A,보험,553010.0
CNQ,Canadian Natural Resources Ltd,오일 및 가스,501020.0
NOC,Northrop Grumman Corp,우주항공 및 국방,521010.0
PGR,Progressive Corp,보험,553010.0
SQ,Block Inc Class A,전문 및 상업 서비스,522030.0
MCO,Moody's Corp,전문 및 상업 서비스,522030.0
FDX,FedEx Corp,화물 및 물류 서비스,524050.0
BSX,Boston Scientific Corp,헬스케어 장비 및 용품,561010.0
ETN,Eaton Corporation PLC,"건설장비 및 대형차, 기차, 배",521020.0
MET,MetLife Inc,보험,553010.0
WM,Waste Management Inc,전문 및 상업 서비스,522030.0
GD,General Dynamics Corp,우주항공 및 국방,521010.0
RELX,Relx PLC ADR,전문 및 상업 서비스,522030.0
STLA,Stellantis NV,자동차 및 자동차 부품,531010.0
CM,Canadian Imperial Bank of Commerce,은행,551010.0
SLB,Schlumberger NV,오일 및 가스 장비 및 서비스,501030.0
PXD,Pioneer Natural Resources Co,오일 및 가스,501020.0
EMR,Emerson Electric Co,"건설장비 및 대형차, 기차, 배",521020.0
ING,ING Groep NV ADR,은행,551010.0
E,Eni SpA ADR,오일 및 가스,501020.0
HUM,Humana Inc,헬스케어 업체 및 서비스,561020.0
APD,Air Products and Chemicals Inc,화학,511010.0
KKR,KKR & Co Inc,투자은행 및 서비스,551020.0
EPD,Enterprise Products Partners Units,오일 및 가스 장비 및 서비스,501030.0
NGG,National Grid PLC ADR,복합 유틸리티,591040.0
ECL,Ecolab Inc,화학,511010.0
PBR,Petroleo Brasileiro SA Petrobras ADR,오일 및 가스,501020.0
VMW,VMware Inc Class A,소프트웨어 및 IT서비스,572010.0
HMC,Honda Motor Co Ltd ADR,자동차 및 자동차 부품,531010.0
WBK,Westpac Banking Corp ADR,은행,551010.0
TRP,TC Energy Corp,오일 및 가스 장비 및 서비스,501030.0
BK,Bank of New York Mellon Corp,투자은행 및 서비스,551020.0
SCCO,Southern Copper Corp,메탈&마이닝,512010.0
NEM,Newmont Corporation,메탈&마이닝,512010.0
LYG,Lloyds Banking Group PLC ADR,은행,551010.0
SMFG,Sumitomo Mitsui Financial Group Inc ADR,은행,551010.0
AIG,American International Group Inc,보험,553010.0
TRI,Thomson Reuters Corp,전문 및 상업 서비스,522030.0
MPC,Marathon Petroleum Corp,오일 및 가스,501020.0
PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010.0
CNC,Centene Corp,헬스케어 업체 및 서비스,561020.0
CP,Canadian Pacific Railway Ltd,화물 및 물류 서비스,524050.0
BCE,BCE Inc,통신 서비스,574010.0
TEL,TE Connectivity Ltd,"건설장비 및 대형차, 기차, 배",521020.0
JCI,Johnson Controls International PLC,"건설장비 및 대형차, 기차, 배",521020.0
IQV,IQVIA Holdings Inc,생명과학 및 메디컬 리서치,562020.0
TAK,Takeda Pharmaceutical Co Ltd ADR,제약,562010.0
SPG,Simon Property Group Inc,주택 및 상업용 리츠,601020.0
DG,Dollar General Corp,다양한 소매업,534020.0
BCS,Barclays PLC ADR,은행,551010.0
ROP,Roper Technologies Inc,소프트웨어 및 IT서비스,572010.0
DELL,Dell Technologies Inc Class C,"컴퓨터, 전화 및 가전제품",571060.0
APH,Amphenol Corp Class A,전자 장비 및 부품,571040.0
DOW,Dow Inc,화학,511010.0
PRU,Prudential Financial Inc,보험,553010.0
ABEV,Ambev SA ADR,음료,541010.0
PUK,Prudential PLC ADR,보험,553010.0
KMB,Kimberly-Clark Corp,"개인, 가정 용품 및 서비스",542010.0
INFO,IHS Markit Ltd,전문 및 상업 서비스,522030.0
BBVA,Banco Bilbao Vizcaya Argentaria SA ADR,은행,551010.0
CMG,Chipotle Mexican Grill Inc,호텔 및 엔터테인먼트,533010.0
LHX,L3harris Technologies Inc,우주항공 및 국방,521010.0
NTR,Nutrien Ltd,화학,511010.0
SRE,Sempra Energy,복합 유틸리티,591040.0
MSCI,MSCI Inc,전문 및 상업 서비스,522030.0
SU,Suncor Energy Inc,오일 및 가스,501020.0
AFL,Aflac Inc,보험,553010.0
BAX,Baxter International Inc,헬스케어 장비 및 용품,561010.0
ADM,Archer-Daniels-Midland Co,식품 및 담배,541020.0
RACE,Ferrari NV,자동차 및 자동차 부품,531010.0
HSY,Hershey Co,식품 및 담배,541020.0
TRV,Travelers Companies Inc,보험,553010.0
SYY,Sysco Corp,식품 및 약품소매,543010.0
MFC,Manulife Financial Corp,보험,553010.0
GPN,Global Payments Inc,전문 및 상업 서비스,522030.0
HLT,Hilton Worldwide Holdings Inc,호텔 및 엔터테인먼트,533010.0
A,Agilent Technologies Inc,헬스케어 장비 및 용품,561010.0
GIS,General Mills Inc,식품 및 담배,541020.0
PSX,Phillips 66,오일 및 가스,501020.0
DD,Dupont De Nemours Inc,화학,511010.0
MCK,Mckesson Corp,식품 및 약품소매,543010.0
HPQ,HP Inc,"컴퓨터, 전화 및 가전제품",571060.0
AMX,America Movil SAB de CV ADR,통신 서비스,574010.0
AZO,Autozone Inc,전문품 상점,534030.0
OXY,Occidental Petroleum Corp,오일 및 가스,501020.0
STM,STMicroelectronics NV ADR,반도체 및 반도체 장비,571010.0
WIT,Wipro Ltd ADR,소프트웨어 및 IT서비스,572010.0
KMI,Kinder Morgan Inc,오일 및 가스 장비 및 서비스,501030.0
NU,Nu Holdings Ltd Class A,소프트웨어 및 IT서비스,572010.0
CPNG,Coupang Inc Class A,다양한 소매업,534020.0
APO,Apollo Global Management Inc,투자은행 및 서비스,551020.0
CARR,Carrier Global Corp,"건설장비 및 대형차, 기차, 배",521020.0
STZ,Constellation Brands Inc Class A,음료,541010.0
CRH,CRH PLC ADR,건축 자재,512020.0
DLR,Digital Realty Trust Inc,주택 및 상업용 리츠,601020.0
RBLX,Roblox Corp Class A,소프트웨어 및 IT서비스,572010.0
PH,Parker-Hannifin Corp,"건설장비 및 대형차, 기차, 배",521020.0
NIO,NIO Inc ADR,자동차 및 자동차 부품,531010.0
ALC,Alcon AG,헬스케어 장비 및 용품,561010.0
O,Realty Income Corp,주택 및 상업용 리츠,601020.0
RSG,Republic Services Inc,전문 및 상업 서비스,522030.0
VLO,Valero Energy Corp,오일 및 가스,501020.0
NWG,Natwest Group PLC ADR,은행,551010.0
BSMX,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero,은행,551010.0
WMB,Williams Companies Inc,오일 및 가스 장비 및 서비스,501030.0
ANET,Arista Networks Inc,커뮤니케이션 및 네트워킹,571020.0
CTVA,Corteva Inc,식품 및 담배,541020.0
GOLD,Barrick Gold Corp,메탈&마이닝,512010.0
DVN,Devon Energy Corp,오일 및 가스,501020.0
MSI,Motorola Solutions Inc,커뮤니케이션 및 네트워킹,571020.0
DFS,Discover Financial Services,은행,551010.0
MFG,Mizuho Financial Group Inc ADR,은행,551010.0
STT,State Street Corp,투자은행 및 서비스,551020.0
APTV,Aptiv PLC,자동차 및 자동차 부품,531010.0
PBR.A,Petroleo Brasileiro SA Petrobras ADR,오일 및 가스,501020.0
YUM,Yum! Brands Inc,호텔 및 엔터테인먼트,533010.0
GLW,Corning Inc,전자 장비 및 부품,571040.0
RMD,Resmed Inc,헬스케어 장비 및 용품,561010.0
PPG,PPG Industries Inc,화학,511010.0
TT,Trane Technologies PLC,"건설장비 및 대형차, 기차, 배",521020.0
TSN,Tyson Foods Inc Class A,식품 및 담배,541020.0
TDG,TransDigm Group Inc,우주항공 및 국방,521010.0
ALL,Allstate Corp,보험,553010.0
VEEV,Veeva Systems Inc Class A,헬스케어 장비 및 용품,561010.0
WELL,Welltower Inc,주택 및 상업용 리츠,601020.0
LVS,Las Vegas Sands Corp,호텔 및 엔터테인먼트,533010.0
MPLX,MPLX Common Units,오일 및 가스 장비 및 서비스,501030.0
IFF,International Flavors & Fragrances Inc,식품 및 담배,541020.0
TWLO,Twilio Inc Class A,소프트웨어 및 IT서비스,572010.0
AMP,Ameriprise Financial Inc,투자은행 및 서비스,551020.0
CBRE,CBRE Group Inc Class A,부동산 운영 관리,601010.0
NET,Cloudflare Inc Class A,소프트웨어 및 IT서비스,572010.0
LYB,LyondellBasell Industries NV Class A,화학,511010.0
KR,Kroger Co,식품 및 약품소매,543010.0
OTIS,Otis Worldwide Corp,"건설장비 및 대형차, 기차, 배",521020.0
NUE,Nucor Corp,메탈&마이닝,512010.0
AVB,Avalonbay Communities Inc,주택 및 상업용 리츠,601020.0
CHT,Chunghwa Telecom Co Ltd ADR,통신 서비스,574010.0
PEG,Public Service Enterprise Group Inc,복합 유틸리티,591040.0
MTD,Mettler-Toledo International Inc,사무기기,571050.0
ORAN,Orange SA ADR,통신 서비스,574010.0
DASH,DoorDash Inc Class A,소프트웨어 및 IT서비스,572010.0
U,Unity Software Inc,소프트웨어 및 IT서비스,572010.0
DB,Deutsche Bank AG,은행,551010.0
EQR,Equity Residential,주택 및 상업용 리츠,601020.0
FERG,Ferguson PLC,주택건설,532030.0
AJG,Arthur J Gallagher & Co,보험,553010.0
SLF,Sun Life Financial Inc,보험,553010.0
CVE,Cenovus Energy Inc,오일 및 가스,501020.0
XPEV,Xpeng Inc ADR,자동차 및 자동차 부품,531010.0
ET,Energy Transfer Units,오일 및 가스 장비 및 서비스,501030.0
TU,Telus Corp,통신 서비스,574010.0
CMI,Cummins Inc,자동차 및 자동차 부품,531010.0
ARE,Alexandria Real Estate Equities Inc,주택 및 상업용 리츠,601020.0
WCN,Waste Connections Inc,전문 및 상업 서비스,522030.0
NOK,Nokia Oyj ADR,커뮤니케이션 및 네트워킹,571020.0
ROK,Rockwell Automation Inc,"건설장비 및 대형차, 기차, 배",521020.0
WY,Weyerhaeuser Co,주택 및 상업용 리츠,601020.0
SPOT,Spotify Technology SA,소프트웨어 및 IT서비스,572010.0
EC,Ecopetrol SA ADR,오일 및 가스,501020.0
FRC,First Republic Bank,은행,551010.0
AME,AMETEK Inc,"건설장비 및 대형차, 기차, 배",521020.0
TLK,Telkom Indonesia (Persero) Tbk PT ADR,통신 서비스,574010.0
KEYS,Keysight Technologies Inc,"건설장비 및 대형차, 기차, 배",521020.0
HAL,Halliburton Co,오일 및 가스 장비 및 서비스,501030.0
BLL,Ball Corp,용기 및 포장,513020.0
DHI,D R Horton Inc,주택건설,532030.0
ED,Consolidated Edison Inc,전기 유틸리티,591010.0
HES,Hess Corp,오일 및 가스,501020.0
ABC,Amerisourcebergen Corp,헬스케어 장비 및 용품,561010.0
PHG,Koninklijke Philips NV ADR,헬스케어 장비 및 용품,561010.0
WST,West Pharmaceutical Services Inc,헬스케어 장비 및 용품,561010.0
ES,Eversource Energy,전기 유틸리티,591010.0
WEC,WEC Energy Group Inc,전기 유틸리티,591010.0
OKE,ONEOK Inc,오일 및 가스 장비 및 서비스,501030.0
TWTR,Twitter Inc,소프트웨어 및 IT서비스,572010.0
TEF,Telefonica SA ADR,통신 서비스,574010.0
MT,ArcelorMittal SA ADR,메탈&마이닝,512010.0
EFX,Equifax Inc,전문 및 상업 서비스,522030.0
FNV,Franco-Nevada Corp,메탈&마이닝,512010.0
AWK,American Water Works Company Inc,수도 유틸리티,591030.0
DAL,Delta Air Lines Inc,운송업,524060.0
ALB,Albemarle Corp,화학,511010.0
LUV,Southwest Airlines Co,운송업,524060.0
SWK,Stanley Black & Decker Inc,"건설장비 및 대형차, 기차, 배",521020.0
LH,Laboratory Corporation of America Holdings,헬스케어 업체 및 서비스,561020.0
EXR,Extra Space Storage Inc,주택 및 상업용 리츠,601020.0
PLTR,Palantir Technologies Inc Class A,소프트웨어 및 IT서비스,572010.0
BIP,Brookfield Infrastructure Partners Units,복합 기업,544010.0
LYV,Live Nation Entertainment Inc,호텔 및 엔터테인먼트,533010.0
HRL,Hormel Foods Corp,식품 및 담배,541020.0
HUBS,HubSpot Inc,소프트웨어 및 IT서비스,572010.0
CAJ,Canon Inc ADR,사무기기,571050.0
MKC,McCormick & Company Inc,식품 및 담배,541020.0
BEKE,Ke Holdings Inc ADR,부동산 운영 관리,601010.0
MAA,Mid-America Apartment Communities Inc,주택 및 상업용 리츠,601020.0
INVH,Invitation Homes Inc,주택 및 상업용 리츠,601020.0
VMC,Vulcan Materials Co,건축 자재,512020.0
IX,Orix Corp ADR,은행,551010.0
ZTO,ZTO Express (Cayman) Inc ADR,화물 및 물류 서비스,524050.0
BILL,Bill.com Holdings Inc,소프트웨어 및 IT서비스,572010.0
CVNA,Carvana Co Class A,전문품 상점,534030.0
KEY,KeyCorp,은행,551010.0
HIG,Hartford Financial Services Group Inc,보험,553010.0
RKT,Rocket Companies Inc Class A,은행,551010.0
ZBH,Zimmer Biomet Holdings Inc,헬스케어 장비 및 용품,561010.0
BBY,Best Buy Co Inc,전문품 상점,534030.0
EPAM,Epam Systems Inc,소프트웨어 및 IT서비스,572010.0
ITUB,Itau Unibanco Holding SA ADR,은행,551010.0
GWW,W W Grainger Inc,"건설장비 및 대형차, 기차, 배",521020.0
UMC,United Microelectronics Corp ADR,반도체 및 반도체 장비,571010.0
LEN,Lennar Corp Class A,주택건설,532030.0
IT,Gartner Inc,소프트웨어 및 IT서비스,572010.0
RCL,Royal Caribbean Cruises Ltd,호텔 및 엔터테인먼트,533010.0
GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020.0
RF,Regions Financial Corp,은행,551010.0
MLM,Martin Marietta Materials Inc,건축 자재,512020.0
CHD,Church & Dwight Co Inc,"개인, 가정 용품 및 서비스",542010.0
VFC,VF Corp,섬유 및 의류,532020.0
MTB,M&T Bank Corp,은행,551010.0
FTV,Fortive Corp,"건설장비 및 대형차, 기차, 배",521020.0
CFG,Citizens Financial Group Inc,은행,551010.0
ARES,Ares Management Corp Class A,투자은행 및 서비스,551020.0
RJF,Raymond James Financial Inc,투자은행 및 서비스,551020.0
DOV,Dover Corp,"건설장비 및 대형차, 기차, 배",521020.0
STE,STERIS plc,헬스케어 장비 및 용품,561010.0
CS,Credit Suisse Group AG ADR,은행,551010.0
EIX,Edison International,전기 유틸리티,591010.0
SYF,Synchrony Financial,은행,551010.0
PCG,PG&E Corp,전기 유틸리티,591010.0
PKI,PerkinElmer Inc,헬스케어 장비 및 용품,561010.0
MGA,Magna International Inc,자동차 및 자동차 부품,531010.0
URI,United Rentals Inc,전문 및 상업 서비스,522030.0
FE,FirstEnergy Corp,전기 유틸리티,591010.0
AEM,Agnico Eagle Mines Ltd,메탈&마이닝,512010.0
DTE,DTE Energy Co,전기 유틸리티,591010.0
KB,KB Financial Group Inc ADR,은행,551010.0
HPE,Hewlett Packard Enterprise Co,"컴퓨터, 전화 및 가전제품",571060.0
SUI,Sun Communities Inc,주택 및 상업용 리츠,601020.0
AEE,Ameren Corp,복합 유틸리티,591040.0
AVTR,Avantor Inc,헬스케어 장비 및 용품,561010.0
CNHI,CNH Industrial NV,"건설장비 및 대형차, 기차, 배",521020.0
YUMC,Yum China Holdings Inc,호텔 및 엔터테인먼트,533010.0
CLR,Continental Resources Inc,오일 및 가스,501020.0
K,Kellogg Co,식품 및 담배,541020.0
CHWY,Chewy Inc Class A,전문품 상점,534030.0
CCL,Carnival Corp,호텔 및 엔터테인먼트,533010.0
IR,Ingersoll Rand Inc,"건설장비 및 대형차, 기차, 배",521020.0
FTS,Fortis Inc,전기 유틸리티,591010.0
PPL,PPL Corp,복합 유틸리티,591040.0
TTM,Tata Motors Ltd ADR,자동차 및 자동차 부품,531010.0
MGM,MGM Resorts International,호텔 및 엔터테인먼트,533010.0
ETR,Entergy Corp,전기 유틸리티,591010.0
DRE,Duke Realty Corp,주택 및 상업용 리츠,601020.0
PAYC,Paycom Software Inc,소프트웨어 및 IT서비스,572010.0
BF.B,Brown-Forman Corp Class B,음료,541010.0
ESS,Essex Property Trust Inc,주택 및 상업용 리츠,601020.0
VTR,Ventas Inc,주택 및 상업용 리츠,601020.0
RCI,Rogers Communications Inc Class B,통신 서비스,574010.0
FLT,Fleetcor Technologies Inc,전문 및 상업 서비스,522030.0
TDY,Teledyne Technologies Inc,전자 장비 및 부품,571040.0
WAT,Waters Corp,헬스케어 장비 및 용품,561010.0
CTRA,Coterra Energy Inc,오일 및 가스,501020.0
TRU,TransUnion,전문 및 상업 서비스,522030.0
COO,Cooper Companies Inc,헬스케어 장비 및 용품,561010.0
BBD,Banco Bradesco SA ADR,은행,551010.0
DIDI,DiDi Global Inc ADR,소프트웨어 및 IT서비스,572010.0
PATH,UiPath Inc Class A,소프트웨어 및 IT서비스,572010.0
TYL,Tyler Technologies Inc,소프트웨어 및 IT서비스,572010.0
TECK,Teck Resources Ltd Class B,메탈&마이닝,512010.0
FMS,Fresenius Medical Care AG & Co KGaA ADR,헬스케어 업체 및 서비스,561020.0
WPM,Wheaton Precious Metals Corp,메탈&마이닝,512010.0
BRO,Brown & Brown Inc,보험,553010.0
WPP,WPP PLC ADR,미디어 및 출판,533020.0
DRI,Darden Restaurants Inc,호텔 및 엔터테인먼트,533010.0
BXP,Boston Properties Inc,주택 및 상업용 리츠,601020.0
PKX,Posco ADR,메탈&마이닝,512010.0
GIB,CGI Inc Class A,소프트웨어 및 IT서비스,572010.0
CMS,CMS Energy Corp,복합 유틸리티,591040.0
PBA,Pembina Pipeline Corp,오일 및 가스 장비 및 서비스,501030.0
SHG,Shinhan Financial Group Co Ltd ADR,은행,551010.0
QSR,Restaurant Brands International Inc,호텔 및 엔터테인먼트,533010.0
GPC,Genuine Parts Co,자동차 및 자동차 부품,531010.0
IP,International Paper Co,용기 및 포장,513020.0
CTLT,Catalent Inc,제약,562010.0
VICI,VICI Properties Inc,주택 및 상업용 리츠,601020.0
MOS,Mosaic Co,화학,511010.0
CLX,Clorox Co,"개인, 가정 용품 및 서비스",542010.0
OMC,Omnicom Group Inc,미디어 및 출판,533020.0
MOH,Molina Healthcare Inc,헬스케어 업체 및 서비스,561020.0
UDR,UDR Inc,주택 및 상업용 리츠,601020.0
NVR,NVR Inc,주택건설,532030.0
AMCR,Amcor PLC,용기 및 포장,513020.0
KMX,Carmax Inc,전문품 상점,534030.0
PEAK,Healthpeak Properties Inc,주택 및 상업용 리츠,601020.0
OWL,Blue Owl Capital Inc Class A,투자은행 및 서비스,551020.0
GNRC,Generac Holdings Inc,"건설장비 및 대형차, 기차, 배",521020.0
MRO,Marathon Oil Corp,오일 및 가스,501020.0
AGR,Avangrid Inc,전기 유틸리티,591010.0
CNP,CenterPoint Energy Inc,복합 유틸리티,591040.0
CAG,Conagra Brands Inc,식품 및 담배,541020.0
MKL,Markel Corp,보험,553010.0
CPT,Camden Property Trust,주택 및 상업용 리츠,601020.0
BR,Broadridge Financial Solutions Inc,전문 및 상업 서비스,522030.0
CE,Celanese Corp,화학,511010.0
ALLY,Ally Financial Inc,은행,551010.0
PINS,Pinterest Inc Class A,소프트웨어 및 IT서비스,572010.0
FMX,Fomento Economico Mexicano SAB de CV ADR,음료,541010.0
CRL,Charles River Laboratories International Inc,생명과학 및 메디컬 리서치,562020.0
WAB,Westinghouse Air Brake Technologies Corp,"건설장비 및 대형차, 기차, 배",521020.0
CF,CF Industries Holdings Inc,화학,511010.0
EMN,Eastman Chemical Co,화학,511010.0
DGX,Quest Diagnostics Inc,헬스케어 업체 및 서비스,561020.0
XYL,Xylem Inc,"건설장비 및 대형차, 기차, 배",521020.0
BBDO,Banco Bradesco SA ADR,은행,551010.0
VIV,Telefonica Brasil SA ADR,통신 서비스,574010.0
WRB,W R Berkley Corp,보험,553010.0
TS,Tenaris SA ADR,오일 및 가스 장비 및 서비스,501030.0
DPZ,Domino's Pizza Inc,호텔 및 엔터테인먼트,533010.0
J,Jacobs Engineering Group Inc,건설 및 엔지니어링,522010.0
ASX,ASE Technology Holding Co Ltd ADR,반도체 및 반도체 장비,571010.0
BIO,Bio Rad Laboratories Inc Class A,헬스케어 장비 및 용품,561010.0
RNG,RingCentral Inc Class A,소프트웨어 및 IT서비스,572010.0
FDS,Factset Research Systems Inc,전문 및 상업 서비스,522030.0
