Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
VERI,Veritone Inc,소프트웨어 및 IT서비스,572010.0,1,3,3,3,3,1,1,1,1,11,1,13
UFCS,United Fire Group Inc,보험,553010.0,2,1,1,1,2,6,6,6,6,6,6,6
MVIS,MicroVision Inc,전자 장비 및 부품,571040.0,0,3,0,0,0,0,0,0,0,0,0,0
CENT,Central Garden & Pet Co,식품 및 담배,541020.0,0,3,3,0,3,1,2,2,2,2,2,2
UFPT,UFP Technologies Inc,헬스케어 장비 및 용품,561010.0,0,0,0,4,4,0,3,3,3,3,3,3
DJCO,Daily Journal Corp,미디어 및 출판,533020.0,0,0,0,4,0,0,0,3,3,3,3,3
VUZI,Vuzix Corp,전자 장비 및 부품,571040.0,1,3,3,0,3,1,1,1,1,0,1,0
NCMI,National Cinemedia Inc,미디어 및 출판,533020.0,2,2,2,2,1,4,4,4,4,4,4,4
HMTV,Hemisphere Media Group Inc Class A,미디어 및 출판,533020.0,2,1,1,1,2,6,6,6,6,6,6,6
REKR,Rekor Systems Inc,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,0,0,0
ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,562020.0,2,2,2,2,1,4,4,4,4,4,4,4
LTRPA,Liberty Tripadvisor Holdings Inc Series A,소프트웨어 및 IT서비스,572010.0,2,2,2,2,2,5,4,4,4,4,4,12
SGA,Saga Communications Inc Class A,미디어 및 출판,533020.0,2,2,2,2,2,5,5,5,5,5,12,12
NNBR,NN Inc,"건설장비 및 대형차, 기차, 배",521020.0,2,2,2,2,2,5,5,5,5,5,12,12
SND,Smart Sand Inc,건축 자재,512020.0,2,2,2,2,1,4,4,4,4,4,4,4
MARK,Remark Holdings Inc,소프트웨어 및 IT서비스,572010.0,2,2,2,2,2,5,5,5,5,5,12,12
RDI,Reading International Inc Class A,호텔 및 엔터테인먼트,533010.0,2,2,2,1,2,5,5,5,5,5,12,12
ACER,Acer Therapeutics Inc,생명과학 및 메디컬 리서치,562020.0,2,2,2,2,2,4,4,4,4,4,4,4
SOFO,Sonic Foundry Inc,소프트웨어 및 IT서비스,572010.0,2,2,2,2,1,4,4,4,4,4,4,4
ONVO,Organovo Holdings Inc,생명과학 및 메디컬 리서치,562020.0,2,2,2,2,1,4,4,4,4,4,4,4
LNG,Cheniere Energy Inc,오일 및 가스 장비 및 서비스,501030.0,0,3,0,0,0,1,2,2,2,2,2,2
CBOE,Cboe Global Markets Inc,투자은행 및 서비스,551020.0,1,3,3,5,5,2,8,8,8,8,8,8
SEB,Seaboard Corp,식품 및 담배,541020.0,1,1,1,1,6,7,7,7,7,7,7,7
PRK,Park National Corp,은행,551010.0,1,3,3,3,3,1,2,2,2,2,11,11
TMP,Tompkins Financial Corp,은행,551010.0,1,1,1,1,6,7,7,7,7,7,7,7
STXS,Stereotaxis Inc,헬스케어 장비 및 용품,561010.0,0,0,0,4,4,3,3,3,3,3,3,3
DLA,Delta Apparel Inc,섬유 및 의류,532020.0,1,3,3,5,3,1,2,2,2,2,2,2
ASXC,Asensus Surgical Inc,헬스케어 장비 및 용품,561010.0,2,2,1,1,2,6,6,6,6,6,6,6
LOV,Spark Networks SE ADR,소프트웨어 및 IT서비스,572010.0,1,1,1,1,6,6,6,6,6,6,6,6
