Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
AAT,American Assets Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
PDM,Piedmont Office Realty Trust Inc Class A,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
XHR,Xenia Hotels & Resorts Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,1,1,10,10,10,10
MNR,Monmouth Real Estate Investment Corp,주택 및 상업용 리츠,601020.0,0,0,3,3,6,3,3,3,3,3,3,3
UE,Urban Edge Properties,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,2,2,10,10,10,10
DRH,Diamondrock Hospitality Co,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,2,2,10,10,10,10
WRE,Washington Real Estate Investment Trust,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,6,6,10,10,10,10
FCPT,Four Corners Property Trust Inc,주택 및 상업용 리츠,601020.0,0,3,4,4,4,0,8,8,8,8,12,12
NXRT,NexPoint Residential Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,3,9,9,9,9,9
PGRE,Paramount Group Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
MFA,MFA Financial Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
TWO,Two Harbors Investment Corp,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
ARI,Apollo Commercial Real Estate Finance Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,1,1,1,1,1,1
STAR,iStar Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
DEA,Easterly Government Properties Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
SKT,Tanger Factory Outlet Centers Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
AKR,Acadia Realty Trust,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,2,2,6,6,10,10
ALEX,Alexander & Baldwin Inc (Hawaii),주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
ESRT,Empire State Realty Trust Inc Class A,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,10,10
PMT,PennyMac Mortgage Investment Trust,주택 및 상업용 리츠,601020.0,2,3,4,4,4,1,8,8,8,8,8,8
VRE,Veris Residential Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,6,6,6,6,6,6
GNL,Global Net Lease Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
LRN,Stride Inc,교육서비스,631010.0,0,0,0,0,0,0,0,0,0,0,0,0
LADR,Ladder Capital Corp Class A,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
CSR,Centerspace,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
LTC,LTC Properties Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
ALX,Alexander's Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
KREF,KKR Real Estate Finance Trust Inc,주택 및 상업용 리츠,601020.0,2,2,2,2,2,2,2,2,2,2,2,2
GTY,Getty Realty Corp,주택 및 상업용 리츠,601020.0,0,3,4,4,4,0,8,8,8,8,12,12
LPI,Laredo Petroleum Inc,오일 및 가스,501020.0,1,2,2,5,5,5,5,5,5,5,5,5
RWT,Redwood Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,1,1,1,1,1,1
AHH,Armada Hoffler Properties Inc,주택 및 상업용 리츠,601020.0,2,3,4,4,1,1,1,1,1,1,8,8
APTS,Preferred Apartment Communities Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,2,2,10,10,10,10
RC,Ready Capital Corp,주택 및 상업용 리츠,601020.0,2,1,1,2,2,2,2,2,10,10,8,8
UMH,UMH Properties Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,3,3,3,3,3
BIG,Big Lots Inc,다양한 소매업,534020.0,2,2,2,3,6,4,4,4,4,11,11,11
BFS,Saul Centers Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,2,2,10,10,10,10
CHCT,Community Healthcare Trust Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
RPT,RPT Realty,주택 및 상업용 리츠,601020.0,1,2,2,2,2,2,2,2,2,2,2,2
INN,Summit Hotel Properties Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,10,10,10,10
GMRE,Global Medical REIT Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,0,9,9,9,9,9
AIV,Apartment Investment and Management Co Class A,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,7,7,8,8,8,8
EFC,Ellington Financial Inc,주택 및 상업용 리츠,601020.0,2,3,4,2,2,2,7,7,2,2,8,8
PLYM,Plymouth Industrial REIT Inc,주택 및 상업용 리츠,601020.0,2,3,3,2,6,7,7,7,7,7,7,7
GTS,Triple-S Management Corp Class B,헬스케어 업체 및 서비스,561020.0,0,0,3,3,6,3,3,3,3,3,3,3
IVR,Invesco Mortgage Capital Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
ARR,ARMOUR Residential REIT Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
UHT,Universal Health Realty Income Trust,주택 및 상업용 리츠,601020.0,2,3,4,4,4,1,8,8,8,8,12,12
CIO,City Office REIT Inc,주택 및 상업용 리츠,601020.0,2,3,3,2,6,7,7,7,7,7,7,7
CLDT,Chatham Lodging Trust,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,10,10
ORC,Orchid Island Capital Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
ACRE,Ares Commercial Real Estate Corp,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,7,7,8,8,8,8
OLP,One Liberty Properties Inc,주택 및 상업용 리츠,601020.0,2,3,4,2,4,7,7,7,7,7,8,8
DX,Dynex Capital Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
RM,Regional Management Corp,은행,551010.0,0,0,3,3,3,3,3,3,3,3,3,3
WSR,Whitestone REIT,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
FPI,Farmland Partners Inc,주택 및 상업용 리츠,601020.0,2,2,3,3,6,4,4,4,4,4,4,4
BRT,BRT Apartments Corp,주택 및 상업용 리츠,601020.0,0,0,0,0,3,3,3,3,3,3,3,3
SRG,Seritage Growth Properties Class A,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
BHR,Braemar Hotels & Resorts Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
AFB,AllianceBernstein National Municipal Income Fund,다양한 금융서비스,555010.0,0,0,3,3,3,4,4,4,4,4,4,4
HT,Hersha Hospitality Trust Class A,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
CTO,CTO Realty Growth Inc,부동산 운영 관리,601010.0,2,3,4,2,6,7,7,7,7,7,8,8
CDR,Cedar Realty Trust Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
AHT,Ashford Hospitality Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
