Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
SSSS,SuRo Capital Corp,다양한 금융서비스,555010.0,1,1,1,1,6,1,1,9,9,9,9,8
FRST,Primis Financial Corp,은행,551010.0,2,2,2,2,2,2,2,2,10,10,10,10
EZPW,EZCORP Inc Class A,은행,551010.0,0,3,3,0,3,3,3,3,3,3,12,12
DGICA,Donegal Group Inc Class A,보험,553010.0,0,3,3,3,3,4,4,4,4,4,4,4
WHF,WhiteHorse Finance Inc,다양한 금융서비스,555010.0,2,0,0,4,5,7,7,7,7,7,7,7
HBCP,Home Bancorp Inc,은행,551010.0,2,2,2,2,4,2,2,2,2,2,2,2
FNLC,First Bancorp Inc,은행,551010.0,2,2,4,4,4,2,7,7,2,7,2,2
NBN,Northeast Bank,은행,551010.0,1,0,0,5,6,5,5,5,7,7,7,7
MCBC,Macatawa Bank Corp,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,12
PVBC,Provident Bancorp Inc (Maryland),은행,551010.0,1,0,0,5,5,7,7,7,7,7,7,7
ESQ,Esquire Financial Holdings Inc,은행,551010.0,1,1,0,4,4,7,7,7,7,7,7,1
FSBW,FS Bancorp Inc,은행,551010.0,1,0,0,4,4,7,7,7,7,7,7,7
NRIM,Northrim BanCorp Inc,은행,551010.0,2,0,4,4,4,7,7,7,7,7,7,7
GLRE,Greenlight Capital Re Ltd Class A,보험,553010.0,0,3,3,3,3,4,4,4,4,4,4,4
PTRS,Partners Bancorp,은행,551010.0,1,0,0,4,4,7,7,7,7,7,7,7
NNBR,NN Inc,"건설장비 및 대형차, 기차, 배",521020.0,0,3,3,3,3,4,4,4,4,4,4,4
CBOE,Cboe Global Markets Inc,투자은행 및 서비스,551020.0,1,1,4,4,4,7,7,7,7,7,7,11
SIM,Grupo Simec SAB de CV ADR,메탈&마이닝,512010.0,1,0,0,5,6,5,5,5,5,5,5,5
PRK,Park National Corp,은행,551010.0,2,0,0,5,5,5,5,5,5,5,5,5
TMP,Tompkins Financial Corp,은행,551010.0,2,2,4,4,4,2,2,2,2,2,2,2
FSP,Franklin Street Properties Corp,주택 및 상업용 리츠,601020.0,0,3,3,3,3,4,4,4,4,4,4,4
BHB,Bar Harbor Bankshares,은행,551010.0,2,2,2,2,2,6,6,6,6,6,6,6
